Customer Type,Material Type,Material,Brand,Level,Price
Residential,Luna Pearl 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Bianco Pure,Granite,GRANITE,N/A,N/A
Residential,Leaden,Hanstone,QUARTZ,N/A,N/A
Residential,BG880 Awaken,Hanstone,QUARTZ,N/A,N/A
Residential,Piatra Grey 2cm Polished A 5003,Ceasarstone,QUARTZ,N/A,N/A
Residential,Q1017 Vesuvius 3cm,MSI QUARTZ,QUARTZ,N/A,N/A
Residential,Calacatta Arno,MSI QUARTZ,QUARTZ,N/A,N/A
Residential,Swanbridge 3cm Polished,Cambria,QUARTZ,N/A,N/A
Residential,White Galaxy 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Calacatta,Marble,Marble,N/A,N/A
Residential,Pietra,SileStone,QUARTZ,N/A,N/A
Residential,Viscon White 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Lyra,SileStone,QUARTZ,N/A,N/A
Residential,White G 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,AMG QuartzSC06 White Sand - Polished 2cm,Pre-fabricated,GRANITE,N/A,N/A
Residential,Lusso,SileStone,QUARTZ,N/A,N/A
Residential,Fantasy Brown 3cm Polished,Marble,MARBLE,N/A,N/A
Residential,Pearl Jasmine,SileStone,QUARTZ,N/A,N/A
Residential,Aspen - Casablanca,Aspen,QUARTZ,N/A,N/A
Residential,White Fantasy 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,White Sand,Home Depot Granite,QUARTZ,N/A,N/A
Residential,Mont Blanc 3cm Polished,Marble,MARBLE,N/A,N/A
Residential,NEW VENETIAN GOLD,Granite,GRANITE,N/A,N/A
Residential,Desert Bloom,Aspen,QUARTZ,N/A,N/A
Residential,Statuario,Aspen,QUARTZ,N/A,N/A
Residential,Eternal Calacatta Gold,SileStone,QUARTZ,N/A,N/A
Residential,Taj Royale,Ceasarstone,QUARTZ,N/A,N/A
Residential,Blanco City,SileStone,QUARTZ,N/A,N/A
Residential,Steel Grey 3cm Leather and Polished,Granite,GRANITE,N/A,N/A
Residential,Granite - Colonial White 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,MSI QUARTZ - Carrara Mist 3cm,MSI QUARTZ,QUARTZ,N/A,N/A
Residential,Nevasca Mist,Home Depot Granite,QUARTZ,N/A,N/A
Residential,RIDGEGATE,Cambria,QUARTZ,N/A,N/A
Residential,Noble Grey 5211,SileStone,QUARTZ,N/A,N/A
